# প্রতি ভিডিও: বাংলা শিরোনাম | জার্মান বাক্য ১ | বাংলা অর্থ ১ | বাংলা উচ্চারণ ১ | জার্মান বাক্য ২ | বাংলা অর্থ ২ | বাংলা উচ্চারণ ২
# এটি লেখকের ভাষা সহায়িকা। ভিডিওতে কোনো ক্যাপশন বা লেখা দেখানো হবে না।
নিজের নাম বলুন|Ich heiße Anna.|আমার নাম আনা।|ইখ হাইসে আনা।|Wie heißt du?|তোমার নাম কী?|ভি হাইস্ট ডু?
টাকা কাটার কারণ জানুন|Ich verstehe diese Abbuchung nicht.|এই টাকা কাটা বুঝতে পারছি না।|ইখ ফেরশ্টেয়ে ডিজে আপবুখুং নিখ্ট।|Können Sie das bitte prüfen?|দয়া করে পরীক্ষা করবেন?|ক্যোনেন জি ডাস বিটে প্র্যুফেন?
পার্সেল পাঠাতে বলুন|Ich möchte dieses Paket verschicken.|আমি এই পার্সেল পাঠাতে চাই।|ইখ ম্যোখটে ডিজেস পাকেট ফেরশিকেন।|Es soll nach Hamburg gehen.|এটা হামবুর্গে যাবে।|এস জল নাখ হামবুর্ক গেয়েন।
ডাকটিকিট কিনুন|Ich brauche eine Briefmarke.|আমার একটা ডাকটিকিট লাগবে।|ইখ ব্রাউখে আইনে ব্রিফমারকে।|Der Brief geht nach Frankreich.|চিঠিটা ফ্রান্সে যাবে।|ডেয়া ব্রিফ গেট নাখ ফ্রাংকরাইখ।
পার্সেল নিতে বলুন|Ich möchte mein Paket abholen.|আমি আমার পার্সেল নিতে চাই।|ইখ ম্যোখটে মাইন পাকেট আপহোলেন।|Hier ist mein Ausweis.|এই নিন পরিচয়পত্র।|হিয়া ইস্ট মাইন আউসভাইস।
পার্সেল না এলে জানান|Mein Paket ist noch nicht angekommen.|আমার পার্সেল এখনো আসেনি।|মাইন পাকেট ইস্ট নখ নিখ্ট আনগেকোমেন।|Können Sie die Sendung prüfen?|পার্সেলের খোঁজ দেখবেন?|ক্যোনেন জি ডি জেন্ডুং প্র্যুফেন?
ভুল পণ্য ফেরত দিন|Ich habe den falschen Artikel bekommen.|আমি ভুল পণ্য পেয়েছি।|ইখ হাবে ডেন ফালশেন আর্টিকেল বেকোমেন।|Ich möchte ihn zurückschicken.|আমি ওটা ফেরত পাঠাতে চাই।|ইখ ম্যোখটে ইন ৎসুর্যুকশিকেন।
ব্যাগ হারালে খোঁজ নিন|Ich habe meine Tasche verloren.|আমি আমার ব্যাগ হারিয়েছি।|ইখ হাবে মাইনে টাশে ফেরলোরেন।|Wo ist das Fundbüro?|হারানো জিনিসের অফিস কোথায়?|ভো ইস্ট ডাস ফুন্টব্যুরো?
রাতের খাবারের দাওয়াত দিন|Hast du Lust, mit uns zu essen?|আমাদের সঙ্গে খেতে চাও?|হাস্ট ডু লুস্ট, মিট উন্স ৎসু এসেন?|Wir kochen heute Abend zusammen.|আজ সন্ধ্যায় আমরা একসঙ্গে রান্না করব।|ভিয়া কোখেন হয়টে আবেন্ট ৎসুজামেন।
দাওয়াত গ্রহণ করুন|Ich komme gern zu deiner Feier.|তোমার অনুষ্ঠানে আনন্দের সঙ্গে আসব।|ইখ কোমে গের্ন ৎসু ডাইনার ফাইয়ার।|Soll ich etwas mitbringen?|কিছু নিয়ে আসব?|জল ইখ এটভাস মিটব্রিংগেন?
ভদ্রভাবে না বলুন|Ich würde gern kommen.|আমি আসতে চাইতাম।|ইখ ভ্যুর্ডে গের্ন কোমেন।|Leider habe ich schon etwas vor.|দুঃখিত, আগে থেকেই অন্য পরিকল্পনা আছে।|লাইডার হাবে ইখ শোন এটভাস ফোর।
অন্য দিনের প্রস্তাব দিন|Heute schaffe ich es leider nicht.|আজ আর পেরে উঠব না।|হয়টে শাফে ইখ এস লাইডার নিখ্ট।|Wie wäre es mit morgen?|কাল হলে কেমন হয়?|ভি ভেয়ারে এস মিট মর্গেন?
দেখা করার জায়গা ঠিক করুন|Lass uns vor dem Kino treffen.|চলো সিনেমা হলের সামনে দেখা করি।|লাস উন্স ফোর ডেম কিনো ট্রেফেন।|Dort können wir aufeinander warten.|সেখানে একে অন্যের অপেক্ষা করতে পারব।|ডর্ট ক্যোনেন ভিয়া আউফআইনানডার ভার্টেন।
বন্ধুকে সঙ্গে নিতে চান|Darf ich einen Freund mitbringen?|একজন বন্ধুকে সঙ্গে আনতে পারি?|ডার্ফ ইখ আইনেন ফ্রয়ন্ট মিটব্রিংগেন?|Er ist gerade zu Besuch.|সে এখন বেড়াতে এসেছে।|এয়া ইস্ট গেরাডে ৎসু বেজুখ।
রান্নায় সাহায্য করতে চান|Kann ich dir beim Kochen helfen?|রান্নায় তোমাকে সাহায্য করতে পারি?|কান ইখ ডিয়া বাইম কোখেন হেলফেন?|Ich könnte das Gemüse schneiden.|আমি সবজি কাটতে পারি।|ইখ ক্যোন্টে ডাস গেম্যুজে শনাইডেন।
দাওয়াতের জন্য ধন্যবাদ দিন|Danke, dass du mich eingeladen hast.|আমাকে দাওয়াত দেওয়ার জন্য ধন্যবাদ।|ডাংকে, ডাস ডু মিখ আইনগেলাডেন হাস্ট।|Der Abend war wirklich schön.|সন্ধ্যাটা সত্যিই সুন্দর ছিল।|ডেয়া আবেন্ট ভার ভির্কলিখ শ্যোন।
পরিকল্পনা বদলানোর কারণ বলুন|Wir müssen das Treffen verschieben.|আমাদের দেখা করার দিন পেছাতে হবে।|ভিয়া ম্যুসেন ডাস ট্রেফেন ফেরশিবেন।|Ein Freund ist krank geworden.|একজন বন্ধু অসুস্থ হয়ে পড়েছে।|আইন ফ্রয়ন্ট ইস্ট ক্রাংক গেভর্ডেন।
যোগাযোগ রাখতে বলুন|Melde dich, wenn du Zeit hast.|সময় পেলে যোগাযোগ কোরো।|মেল্ডে ডিখ, ভেন ডু ৎসাইট হাস্ট।|Ich würde mich sehr freuen.|আমার খুব ভালো লাগবে।|ইখ ভ্যুর্ডে মিখ জেয়া ফ্রয়েন।
সহজভাবে কারণ বলুন|Ich bleibe zu Hause, weil ich müde bin.|ক্লান্ত বলে বাসায় থাকব।|ইখ ব্লাইবে ৎসু হাউজে, ভাইল ইখ ম্যুডে বিন।|Morgen gehe ich wieder raus.|কাল আবার বাইরে যাব।|মর্গেন গেয়ে ইখ ভিডার রাউস।
কেন জার্মান শিখছেন বলুন|Ich lerne Deutsch, weil ich hier arbeite.|এখানে কাজ করি বলে জার্মান শিখছি।|ইখ লের্নে ডয়চ, ভাইল ইখ হিয়া আরবাইটে।|Ich möchte meine Kollegen besser verstehen.|সহকর্মীদের কথা আরও ভালো বুঝতে চাই।|ইখ ম্যোখটে মাইনে কোলেগেন বেসার ফেরশ্টেয়েন।
ট্রেনে যেতে কেন পছন্দ|Ich fahre lieber mit dem Zug.|আমি ট্রেনে যেতে বেশি পছন্দ করি।|ইখ ফারে লিবার মিট ডেম ৎসুক।|So kann ich unterwegs lesen.|এতে পথে পড়তে পারি।|জো কান ইখ উন্টারভেক্স লেজেন।
নিজে রান্না কেন করেন|Ich koche gern selbst.|নিজে রান্না করতে ভালোবাসি।|ইখ কোখে গের্ন জেল্পস্ট।|Dann weiß ich, was im Essen ist.|তাহলে খাবারে কী আছে জানি।|ডান ভাইস ইখ, ভাস ইম এসেন ইস্ট।
আপনার কাছে কী জরুরি|Mir ist eine ruhige Wohnung wichtig.|শান্ত বাসা আমার কাছে জরুরি।|মিয়া ইস্ট আইনে রুইগে ভোনুং ভিখ্টিখ।|Ich arbeite oft von zu Hause.|আমি প্রায়ই বাসা থেকে কাজ করি।|ইখ আরবাইটে অফ্ট ফন ৎসু হাউজে।
দুটি জিনিস তুলনা করুন|Diese Wohnung ist günstiger als die andere.|এই বাসা অন্যটির চেয়ে সস্তা।|ডিজে ভোনুং ইস্ট গ্যুনস্টিগার আল্স ডি আনডেরে।|Dafür ist sie etwas kleiner.|তবে এটা একটু ছোট।|ডাফ্যুর ইস্ট জি এটভাস ক্লাইনার।
নিজের মতামত দিন|Ich finde den Vorschlag gut.|প্রস্তাবটা আমার ভালো লাগছে।|ইখ ফিন্ডে ডেন ফোরশ্লাক গুট।|Wir sollten es einfach versuchen.|আমাদের চেষ্টা করে দেখা উচিত।|ভিয়া জল্টেন এস আইনফাখ ফেরজুখেন।
ভদ্রভাবে ভিন্নমত দিন|Ich sehe das etwas anders.|আমি বিষয়টা একটু ভিন্নভাবে দেখি।|ইখ জেয়ে ডাস এটভাস আনডার্স।|Können wir noch einmal darüber sprechen?|এ নিয়ে আবার কথা বলতে পারি?|ক্যোনেন ভিয়া নখ আইনমাল ডারইউবার শ্প্রেখেন?
নিশ্চিত না হলে বলুন|Ich bin mir noch nicht sicher.|আমি এখনো নিশ্চিত নই।|ইখ বিন মিয়া নখ নিখ্ট জিখার।|Ich möchte darüber nachdenken.|আমি এটা নিয়ে ভাবতে চাই।|ইখ ম্যোখটে ডারইউবার নাখডেংকেন।
খরচ ভাগ করার প্রস্তাব|Wir können uns die Kosten teilen.|আমরা খরচ ভাগ করে নিতে পারি।|ভিয়া ক্যোনেন উন্স ডি কোস্টেন টাইলেন।|Dann wird es für alle günstiger.|তাহলে সবার খরচ কম হবে।|ডান ভির্ট এস ফ্যুর আলে গ্যুনস্টিগার।
গতকালের কথা বলুন|Gestern habe ich lange gearbeitet.|গতকাল অনেকক্ষণ কাজ করেছি।|গেস্টার্ন হাবে ইখ লাংগে গেআরবাইটেট।|Danach bin ich früh eingeschlafen.|তারপর তাড়াতাড়ি ঘুমিয়ে পড়েছি।|ডানাখ বিন ইখ ফ্র্যু আইনগেশ্লাফেন।
বাস মিস হলে বলুন|Ich habe den Bus verpasst.|আমি বাস মিস করেছি।|ইখ হাবে ডেন বুস ফেরপাস্ট।|Deshalb bin ich zu spät gekommen.|তাই দেরি হয়েছে।|ডেসহাল্প বিন ইখ ৎসু শ্পেট গেকোমেন।
প্রথম দিনের অভিজ্ঞতা|Am Anfang war ich sehr nervös.|শুরুতে আমি খুব নার্ভাস ছিলাম।|আম আনফাং ভার ইখ জেয়া নেরভ্যোস।|Meine Kollegen haben mir geholfen.|সহকর্মীরা আমাকে সাহায্য করেছেন।|মাইনে কোলেগেন হাবেন মিয়া গেহোলফেন।
বাসা পেয়ে জানিয়ে দিন|Ich habe endlich eine Wohnung gefunden.|অবশেষে একটা বাসা পেয়েছি।|ইখ হাবে এন্টলিখ আইনে ভোনুং গেফুন্ডেন।|Nächsten Monat ziehe ich ein.|আগামী মাসে উঠব।|নেখস্টেন মোনাট ৎসিয়ে ইখ আইন।
নতুন সাইকেলের কথা|Ich habe mir ein Fahrrad gekauft.|আমি একটা সাইকেল কিনেছি।|ইখ হাবে মিয়া আইন ফাররাট গেকাউফ্ট।|Damit fahre ich jetzt zur Arbeit.|এখন ওটা দিয়ে কাজে যাই।|ডামিট ফারে ইখ ইয়েট্স্ট ৎসুর আরবাইট।
ছোট ভুলের কথা বলুন|Ich habe die falsche Adresse eingegeben.|আমি ভুল ঠিকানা লিখেছিলাম।|ইখ হাবে ডি ফালশে আড্রেসে আইনগেগেবেন।|Zum Glück habe ich es rechtzeitig bemerkt.|ভাগ্য ভালো, সময়মতো খেয়াল করেছি।|ৎসুম গ্ল্যুক হাবে ইখ এস রেখ্টৎসাইটিখ বেমের্ক্ট।
বন্ধুর সঙ্গে দেখা হওয়ার কথা|Am Wochenende habe ich Sara getroffen.|ছুটির দিনে সারার সঙ্গে দেখা হয়েছিল।|আম ভোখেনএন্ডে হাবে ইখ জারা গেট্রফেন।|Wir haben lange miteinander gesprochen.|আমরা অনেকক্ষণ কথা বলেছি।|ভিয়া হাবেন লাংগে মিটআইনানডার গেশ্প্রোখেন।
প্রথম অভিজ্ঞতা বলুন|Ich bin zum ersten Mal geflogen.|আমি প্রথমবার বিমানে চড়েছি।|ইখ বিন ৎসুম এরস্টেন মাল গেফ্লোগেন।|Es war aufregender als erwartet.|প্রত্যাশার চেয়েও রোমাঞ্চকর ছিল।|এস ভার আউফরেগেন্ডার আল্স এরভার্টেট।
কোর্স শেষের কথা বলুন|Ich habe meinen Deutschkurs abgeschlossen.|আমার জার্মান কোর্স শেষ করেছি।|ইখ হাবে মাইনেন ডয়চকুর্স আপগেশ্লোসেন।|Jetzt möchte ich weiterlernen.|এখন আরও শিখতে চাই।|ইয়েট্স্ট ম্যোখটে ইখ ভাইটারলের্নেন।
ভুলের ভয় কাটান|Früher hatte ich Angst vor Fehlern.|আগে ভুল করতে ভয় পেতাম।|ফ্র্যুয়ার হাটে ইখ আংস্ট ফোর ফেলার্ন।|Heute spreche ich trotzdem Deutsch.|এখন তবুও জার্মান বলি।|হয়টে শ্প্রেখে ইখ ট্রট্সডেম ডয়চ।
নতুন কাজের পরিকল্পনা|Nächste Woche fange ich einen neuen Job an.|আগামী সপ্তাহে নতুন চাকরি শুরু করব।|নেখস্টে ভোখে ফাংগে ইখ আইনেন নয়েন জপ আন।|Ich bin schon sehr gespannt.|আমি খুব আগ্রহ নিয়ে অপেক্ষা করছি।|ইখ বিন শোন জেয়া গেশ্পান্ট।
শেখার লক্ষ্য বলুন|Ich möchte jeden Tag zehn Minuten üben.|প্রতিদিন দশ মিনিট অনুশীলন করতে চাই।|ইখ ম্যোখটে ইয়েডেন টাক ৎসেন মিনিটেন ইউবেন।|So bleibe ich beim Lernen dran.|এভাবে নিয়মিত শেখা চালিয়ে যাই।|জো ব্লাইবে ইখ বাইম লের্নেন ড্রান।
আবহাওয়া অনুযায়ী পরিকল্পনা|Wenn es morgen sonnig ist, gehen wir wandern.|কাল রোদ হলে হাঁটতে বেড়াব।|ভেন এস মর্গেন জনিখ ইস্ট, গেয়েন ভিয়া ভানডার্ন।|Sonst bleiben wir in der Stadt.|নইলে শহরেই থাকব।|জনস্ট ব্লাইবেন ভিয়া ইন ডেয়া শ্টাট।
কাজ শেষে দেখা করার কথা|Wenn ich früher fertig bin, rufe ich an.|আগে কাজ শেষ হলে ফোন করব।|ভেন ইখ ফ্র্যুয়ার ফের্টিখ বিন, রুফে ইখ আন।|Dann können wir uns treffen.|তখন আমরা দেখা করতে পারব।|ডান ক্যোনেন ভিয়া উন্স ট্রেফেন।
সহজ বইয়ের পরামর্শ চান|Könntest du mir ein gutes Buch empfehlen?|ভালো একটা বইয়ের পরামর্শ দেবে?|ক্যোন্টেস্ট ডু মিয়া আইন গুটেস বুখ এমপ্ফেলেন?|Es sollte leicht zu lesen sein.|পড়তে সহজ হলে ভালো হয়।|এস জল্টে লাইখ্ট ৎসু লেজেন জাইন।
বেড়ানোর ইচ্ছা বলুন|Ich würde gern einmal nach Wien reisen.|আমি একবার ভিয়েনায় যেতে চাই।|ইখ ভ্যুর্ডে গের্ন আইনমাল নাখ ভিন রাইজেন।|Dafür spare ich jeden Monat Geld.|সেজন্য প্রতি মাসে টাকা জমাই।|ডাফ্যুর শ্পারে ইখ ইয়েডেন মোনাট গেল্ট।
কাজের কাছে থাকতে চান|Ich möchte näher bei meiner Arbeit wohnen.|কাজের জায়গার আরও কাছে থাকতে চাই।|ইখ ম্যোখটে নেয়ার বাই মাইনার আরবাইট ভোনেন।|Dann brauche ich morgens weniger Zeit.|তাহলে সকালে কম সময় লাগবে।|ডান ব্রাউখে ইখ মর্গেন্স ভেনিগার ৎসাইট।
কাজের প্রতিশ্রুতি দিন|Ich kümmere mich morgen darum.|কাল আমি বিষয়টা দেখব।|ইখ ক্যুমারে মিখ মর্গেন ডারুম।|Sobald ich fertig bin, melde ich mich.|শেষ হলেই যোগাযোগ করব।|জোবাল্ট ইখ ফের্টিখ বিন, মেল্ডে ইখ মিখ।
বিকল্প পরিকল্পনা বলুন|Falls der Zug ausfällt, nehmen wir den Bus.|ট্রেন বাতিল হলে বাসে যাব।|ফাল্স ডেয়া ৎসুক আউসফেল্ট, নেমেন ভিয়া ডেন বুস।|Wir kommen trotzdem rechtzeitig an.|তবুও আমরা সময়মতো পৌঁছাব।|ভিয়া কোমেন ট্রট্সডেম রেখ্টৎসাইটিখ আন।
ভবিষ্যতের ইচ্ছা বলুন|Später möchte ich eine Ausbildung machen.|পরে আমি কারিগরি প্রশিক্ষণ নিতে চাই।|শ্পেটার ম্যোখটে ইখ আইনে আউসবিল্ডুং মাখেন।|Zuerst muss ich mein Deutsch verbessern.|আগে আমার জার্মান আরও ভালো করতে হবে।|ৎসুএরস্ট মুস ইখ মাইন ডয়চ ফেরবেসার্ন।
জরুরি সাহায্য চান|Bitte rufen Sie einen Krankenwagen.|দয়া করে অ্যাম্বুলেন্স ডাকুন।|বিটে রুফেন জি আইনেন ক্রাংকেনভাগেন।|Hier braucht jemand dringend Hilfe.|এখানে একজনের জরুরি সাহায্য দরকার।|হিয়া ব্রাউখ্ট ইয়েমান্ট ড্রিংগেন্ট হিলফে।
চুরির অভিযোগ জানান|Mein Fahrrad wurde gestohlen.|আমার সাইকেল চুরি হয়েছে।|মাইন ফাররাট ভুর্ডে গেশ্টোলেন।|Ich möchte den Diebstahl melden.|আমি চুরির অভিযোগ করতে চাই।|ইখ ম্যোখটে ডেন ডিপশ্টাল মেল্ডেন।
বুকিং সমস্যা বুঝিয়ে বলুন|Meine Reservierung ist nicht im System.|সিস্টেমে আমার বুকিং নেই।|মাইনে রেজেরভিরুং ইস্ট নিখ্ট ইম জ্যুস্টেম।|Ich habe aber eine Bestätigung bekommen.|কিন্তু আমি নিশ্চয়তার বার্তা পেয়েছি।|ইখ হাবে আবের আইনে বেশ্টেটিগুং বেকোমেন।
টাকা ফেরত চাইতে বলুন|Der Artikel ist beschädigt angekommen.|পণ্যটি নষ্ট অবস্থায় এসেছে।|ডেয়া আর্টিকেল ইস্ট বেশেডিগ্ট আনগেকোমেন।|Ich möchte mein Geld zurückbekommen.|আমি আমার টাকা ফেরত চাই।|ইখ ম্যোখটে মাইন গেল্ট ৎসুর্যুকবেকোমেন।
ভুল বোঝাবুঝি পরিষ্কার করুন|Das habe ich anders verstanden.|আমি সেটা অন্যভাবে বুঝেছিলাম।|ডাস হাবে ইখ আনডার্স ফেরশ্টানডেন।|Können Sie es genauer erklären?|আরও স্পষ্ট করে বলবেন?|ক্যোনেন জি এস গেনাউয়ার এরক্লেয়ারেন?
ভুলের জন্য ক্ষমা চান|Ich habe versehentlich Ihre Tasche genommen.|ভুল করে আপনার ব্যাগ নিয়েছি।|ইখ হাবে ফেরজেন্টলিখ ইরে টাশে গেনোমেন।|Das war keine Absicht.|এটা ইচ্ছা করে করিনি।|ডাস ভার কাইনে আপজিখ্ট।
বিল আবার দেখতে বলুন|Ich glaube, die Rechnung stimmt nicht.|আমার মনে হয় বিলটা ঠিক নেই।|ইখ গ্লাউবে, ডি রেখনুং শ্টিম্ট নিখ্ট।|Könnten Sie bitte noch einmal nachrechnen?|দয়া করে আবার হিসাব করবেন?|ক্যোন্টেন জি বিটে নখ আইনমাল নাখরেখনেন?
কী চেষ্টা করেছেন বলুন|Ich habe es schon zweimal versucht.|আমি আগেই দুবার চেষ্টা করেছি।|ইখ হাবে এস শোন ৎসভাইমাল ফেরজুখ্ট।|Leider funktioniert es immer noch nicht.|দুঃখিত, এখনো কাজ করছে না।|লাইডার ফুংক্ৎসিওনির্ট এস ইমার নখ নিখ্ট।
একসঙ্গে সমাধান খুঁজুন|Wir finden bestimmt eine Lösung.|আমরা নিশ্চয়ই একটা সমাধান পাব।|ভিয়া ফিন্ডেন বেশ্টিম্ট আইনে ল্যোজুং।|Lassen Sie uns die Möglichkeiten ansehen.|চলুন সম্ভাব্য উপায়গুলো দেখি।|লাসেন জি উন্স ডি ম্যোগলিখকাইটেন আনজেয়েন।
সাহায্যের জন্য কৃতজ্ঞতা জানান|Ihre Hilfe hat mir viel bedeutet.|আপনার সাহায্য আমার জন্য অনেক মূল্যবান ছিল।|ইরে হিলফে হাট মিয়া ফিল বেডয়টেট।|Jetzt weiß ich, wie es weitergeht.|এখন জানি কীভাবে এগোব।|ইয়েট্স্ট ভাইস ইখ, ভি এস ভাইটারগেট।
