# প্রতি ভিডিও: বাংলা শিরোনাম | হিন্দি বাক্য ১ | বাংলা অর্থ ১ | বাংলা উচ্চারণ ১ | হিন্দি বাক্য ২ | বাংলা অর্থ ২ | বাংলা উচ্চারণ ২
# ক্যাপশনে মূল হিন্দি, বাংলা উচ্চারণ ও বাংলা অর্থ একসঙ্গে থাকবে। উপস্থাপক প্রতিটি হিন্দি বাক্যের পর তার বাংলা অর্থ বলবেন।
নিজের নাম বলুন|मेरा नाम आशा है।|আমার নাম আশা।|মেরা নাম আশা হ্যায়।|तुम्हारा नाम क्या है?|তোমার নাম কী?|তুমহারা নাম ক্যা হ্যায়?
ঠিকানা নিবন্ধন করুন|मुझे अपना नया पता दर्ज करवाना है।|আমি বাসার ঠিকানা নিবন্ধন করতে চাই।|মুঝে অপনা নয়া পতা দর্জ করবানা হ্যায়।|मैंने अभी घर बदला है।|আমি সদ্য বাসা বদলেছি।|ম্যাঁনে অভী ঘর বদলা হ্যায়।
ফরম চাইতে শিখুন|मुझे एक फ़ॉर्म चाहिए।|আমার একটা ফরম লাগবে।|মুঝে এক ফর্ম চাহিয়ে।|यह कहाँ मिलेगा?|ওটা কোথায় পাব?|ইয়হ কহাঁ মিলেগা?
কোথায় স্বাক্ষর করবেন জানুন|मुझे कहाँ हस्ताक्षर करने हैं?|কোথায় স্বাক্ষর করতে হবে?|মুঝে কহাঁ হস্তাক্‌শর করনে হ্যাঁয়?|मैंने सब भर दिया है।|আমি সব পূরণ করেছি।|ম্যাঁনে সব ভর দিয়া হ্যায়।
কাগজপত্র বাকি কি না জানুন|क्या कोई कागज़ बाकी है?|আর কোনো কাগজ বাকি আছে?|ক্যা কোঈ কাগজ বাকী হ্যায়?|मैं इसे कल ला सकती हूँ।|আমি কাল নিয়ে আসতে পারি।|ম্যাঁ ইসে কল লা সকতী হুঁ।
কতক্ষণ অপেক্ষা জানতে চান|कितनी देर इंतज़ार करना होगा?|কতক্ষণ অপেক্ষা করতে হবে?|কিতনী দের ইনতজার করনা হোগা?|मैंने एक टोकन लिया है।|আমি একটা টোকেন নিয়েছি।|ম্যাঁনে এক টোকন লিয়া হ্যায়।
লিখিত নিশ্চয়তা চান|क्या मुझे लिखित पुष्टि मिलेगी?|আমি কি লিখিত নিশ্চয়তা পেতে পারি?|ক্যা মুঝে লিখিত পুষ্টি মিলেগী?|कृपया इसे ईमेल से भेजिए।|দয়া করে ইমেইলে পাঠান।|কৃপয়া ইসে ঈমেল সে ভেজিয়ে।
নতুন ঠিকানা জানান|मेरा पता बदल गया है।|আমার ঠিকানা বদলেছে।|মেরা পতা বদল গয়া হ্যায়।|मैं आपको नया पता देती हूँ।|আপনাকে নতুন ঠিকানা দিচ্ছি।|ম্যাঁ আপকো নয়া পতা দেতী হুঁ।
ব্যাংক হিসাব খুলুন|मैं बैंक खाता खोलना चाहती हूँ।|আমি একটা ব্যাংক হিসাব খুলতে চাই।|ম্যাঁ ব্যাঙ্ক খাতা খোলনা চাহতী হুঁ।|आपको कौन से दस्तावेज़ चाहिए?|আপনাদের কী কাগজপত্র লাগবে?|আপকো কৌন সে দস্তাবেজ চাহিয়ে?
এটিএম খুঁজে নিন|पास का एटीएम कहाँ है?|কাছের এটিএম কোথায়?|পাস কা এটিএম কহাঁ হ্যায়?|मुझे पैसे निकालने हैं।|আমাকে টাকা তুলতে হবে।|মুঝে প্যায়সে নিকালনে হ্যাঁয়।
ব্যাংক কার্ড হারালে বলুন|मेरा बैंक कार्ड खो गया है।|আমি ব্যাংক কার্ড হারিয়েছি।|মেরা ব্যাঙ্ক কার্ড খো গয়া হ্যায়।|कृपया कार्ड बंद कर दीजिए।|দয়া করে কার্ডটি বন্ধ করুন।|কৃপয়া কার্ড বন্দ কর দীজিয়ে।
টাকা কাটার কারণ জানুন|मुझे यह कटौती समझ नहीं आ रही।|এই টাকা কাটা বুঝতে পারছি না।|মুঝে ইয়হ কটৌতী সমঝ নহীঁ আ রহী।|क्या आप इसकी जाँच करेंगे?|দয়া করে পরীক্ষা করবেন?|ক্যা আপ ইসকী জাঁচ করেঙ্গে?
পার্সেল পাঠাতে বলুন|मैं यह पार्सल भेजना चाहती हूँ।|আমি এই পার্সেল পাঠাতে চাই।|ম্যাঁ ইয়হ পার্সল ভেজনা চাহতী হুঁ।|इसे मुंबई जाना है।|এটা মুম্বাইে যাবে।|ইসে মুম্বঈ জানা হ্যায়।
ডাকটিকিট কিনুন|मुझे एक डाक टिकट चाहिए।|আমার একটা ডাকটিকিট লাগবে।|মুঝে এক ডাক টিকট চাহিয়ে।|यह चिट्ठी फ़्रांस जाएगी।|চিঠিটা ফ্রান্সে যাবে।|ইয়হ চিট্ঠী ফ্রাঁস জাএগী।
পার্সেল নিতে বলুন|मैं अपना पार्सल लेने आई हूँ।|আমি আমার পার্সেল নিতে এসেছি।|ম্যাঁ অপনা পার্সল লেনে আঈ হুঁ।|यह मेरा पहचान पत्र है।|এই নিন পরিচয়পত্র।|ইয়হ মেরা পহচান পত্র হ্যায়।
পার্সেল না এলে জানান|मेरा पार्सल अभी तक नहीं आया।|আমার পার্সেল এখনো আসেনি।|মেরা পার্সল অভী তক নহীঁ আয়া।|क्या आप पार्सल का पता लगाएँगे?|পার্সেলের খোঁজ দেখবেন?|ক্যা আপ পার্সল কা পতা লগাএঁগে?
ভুল পণ্য ফেরত দিন|मुझे गलत सामान मिला है।|আমি ভুল পণ্য পেয়েছি।|মুঝে গলত সামান মিলা হ্যায়।|मैं इसे वापस भेजना चाहती हूँ।|আমি ওটা ফেরত পাঠাতে চাই।|ম্যাঁ ইসে বাপস ভেজনা চাহতী হুঁ।
ব্যাগ হারালে খোঁজ নিন|मेरा बैग खो गया है।|আমি আমার ব্যাগ হারিয়েছি।|মেরা ব্যাগ খো গয়া হ্যায়।|खोया-पाया दफ़्तर कहाँ है?|হারানো জিনিসের অফিস কোথায়?|খোয়া-পায়া দফতর কহাঁ হ্যায়?
রাতের খাবারের দাওয়াত দিন|क्या तुम हमारे साथ खाना खाओगे?|আমাদের সঙ্গে খেতে চাও?|ক্যা তুম হমারে সাথ খানা খাওগে?|आज शाम हम साथ खाना बनाएँगे।|আজ সন্ধ্যায় আমরা একসঙ্গে রান্না করব।|আজ শাম হম সাথ খানা বনাএঁগে।
দাওয়াত গ্রহণ করুন|मैं खुशी से तुम्हारी पार्टी में आऊँगी।|তোমার অনুষ্ঠানে আনন্দের সঙ্গে আসব।|ম্যাঁ খুশী সে তুমহারী পার্টী মেঁ আউঁগী।|क्या मैं कुछ साथ लाऊँ?|কিছু নিয়ে আসব?|ক্যা ম্যাঁ কুছ সাথ লাউঁ?
ভদ্রভাবে না বলুন|मैं आना तो चाहती हूँ।|আমি আসতে চাইতাম।|ম্যাঁ আনা তো চাহতী হুঁ।|लेकिन पहले से कुछ और तय है।|দুঃখিত, আগে থেকেই অন্য পরিকল্পনা আছে।|লেকিন পহলে সে কুছ ঔর তয় হ্যায়।
অন্য দিনের প্রস্তাব দিন|आज मैं नहीं आ पाऊँगी।|আজ আর পেরে উঠব না।|আজ ম্যাঁ নহীঁ আ পাউঁগী।|कल मिलें तो कैसा रहेगा?|কাল হলে কেমন হয়?|কল মিলেঁ তো ক্যায়সা রহেগা?
দেখা করার জায়গা ঠিক করুন|चलो सिनेमाघर के सामने मिलते हैं।|চলো সিনেমা হলের সামনে দেখা করি।|চলো সিনেমাঘর কে সামনে মিলতে হ্যাঁয়।|वहाँ एक-दूसरे का इंतज़ार कर सकते हैं।|সেখানে একে অন্যের অপেক্ষা করতে পারব।|ওহাঁ এক-দুসরে কা ইনতজার কর সকতে হ্যাঁয়।
বন্ধুকে সঙ্গে নিতে চান|क्या मैं एक दोस्त को साथ लाऊँ?|একজন বন্ধুকে সঙ্গে আনতে পারি?|ক্যা ম্যাঁ এক দোস্ত কো সাথ লাউঁ?|वह अभी मिलने आया है।|সে এখন বেড়াতে এসেছে।|ওহ অভী মিলনে আয়া হ্যায়।
রান্নায় সাহায্য করতে চান|क्या मैं खाना बनाने में मदद करूँ?|রান্নায় তোমাকে সাহায্য করতে পারি?|ক্যা ম্যাঁ খানা বনানে মেঁ মদদ করুঁ?|मैं सब्ज़ी काट सकती हूँ।|আমি সবজি কাটতে পারি।|ম্যাঁ সবজী কাট সকতী হুঁ।
দাওয়াতের জন্য ধন্যবাদ দিন|मुझे बुलाने के लिए धन्यवाद।|আমাকে দাওয়াত দেওয়ার জন্য ধন্যবাদ।|মুঝে বুলানে কে লিয়ে ধন্যবাদ।|शाम सचमुच बहुत अच्छी थी।|সন্ধ্যাটা সত্যিই সুন্দর ছিল।|শাম সচমুচ বহুত অচ্ছী থী।
পরিকল্পনা বদলানোর কারণ বলুন|हमें मिलने का दिन बदलना होगा।|আমাদের দেখা করার দিন পেছাতে হবে।|হমেঁ মিলনে কা দিন বদলনা হোগা।|एक दोस्त बीमार पड़ गया है।|একজন বন্ধু অসুস্থ হয়ে পড়েছে।|এক দোস্ত বীমার পড় গয়া হ্যায়।
যোগাযোগ রাখতে বলুন|समय मिले तो फ़ोन करना।|সময় পেলে ফোন কোরো।|সময় মিলে তো ফোন করনা।|मुझे बहुत खुशी होगी।|আমার খুব ভালো লাগবে।|মুঝে বহুত খুশী হোগী।
সহজভাবে কারণ বলুন|मैं थकी हूँ, इसलिए घर पर रहूँगी।|ক্লান্ত বলে বাসায় থাকব।|ম্যাঁ থকী হুঁ, ইসলিয়ে ঘর পর রহুঙ্গী।|कल फिर बाहर जाऊँगी।|কাল আবার বাইরে যাব।|কল ফির বাহর জাউঁগী।
কেন হিন্দি শিখছেন বলুন|काम के लिए मैं हिंदी सीख रही हूँ।|আমি কাজের জন্য হিন্দি শিখছি।|কাম কে লিয়ে ম্যাঁ হিন্দী সীখ রহী হুঁ।|मैं सहकर्मियों की बात बेहतर समझना चाहती हूँ।|সহকর্মীদের কথা আরও ভালো বুঝতে চাই।|ম্যাঁ সহকর্মিয়োঁ কী বাত বেহতর সমঝনা চাহতী হুঁ।
ট্রেনে যেতে কেন পছন্দ|मुझे ट्रेन से जाना ज़्यादा पसंद है।|আমি ট্রেনে যেতে বেশি পছন্দ করি।|মুঝে ট্রেন সে জানা জ্যাদা পসন্দ হ্যায়।|इस तरह रास्ते में पढ़ सकती हूँ।|এতে পথে পড়তে পারি।|ইস তরহ রাসতে মেঁ পড় সকতী হুঁ।
নিজে রান্না কেন করেন|मुझे खुद खाना बनाना पसंद है।|নিজে রান্না করতে ভালোবাসি।|মুঝে খুদ খানা বনানা পসন্দ হ্যায়।|तब खाने की चीज़ों का पता रहता है।|তাহলে খাবারে কী আছে জানি।|তব খানে কী চীজোঁ কা পতা রহতা হ্যায়।
আপনার কাছে কী জরুরি|मेरे लिए शांत घर ज़रूरी है।|শান্ত বাসা আমার কাছে জরুরি।|মেরে লিয়ে শান্ত ঘর জরুরী হ্যায়।|मैं अक्सर घर से काम करती हूँ।|আমি প্রায়ই বাসা থেকে কাজ করি।|ম্যাঁ অক্‌সর ঘর সে কাম করতী হুঁ।
দুটি জিনিস তুলনা করুন|यह घर दूसरे से सस्ता है।|এই বাসা অন্যটির চেয়ে সস্তা।|ইয়হ ঘর দুসরে সে সস্তা হ্যায়।|लेकिन यह थोड़ा छोटा है।|তবে এটা একটু ছোট।|লেকিন ইয়হ থোড়া ছোটা হ্যায়।
নিজের মতামত দিন|मुझे यह सुझाव अच्छा लगा।|প্রস্তাবটা আমার ভালো লাগছে।|মুঝে ইয়হ সুঝাব অচ্ছা লগা।|हमें कोशिश करके देखना चाहिए।|আমাদের চেষ্টা করে দেখা উচিত।|হমেঁ কোশিশ করকে দেখনা চাহিয়ে।
ভদ্রভাবে ভিন্নমত দিন|मैं इसे थोड़ा अलग तरह से देखती हूँ।|আমি বিষয়টা একটু ভিন্নভাবে দেখি।|ম্যাঁ ইসে থোড়া অলগ তরহ সে দেখতী হুঁ।|क्या हम फिर इस पर बात करें?|এ নিয়ে আবার কথা বলতে পারি?|ক্যা হম ফির ইস পর বাত করেঁ?
নিশ্চিত না হলে বলুন|मैं अभी तय नहीं कर पाई हूँ।|আমি এখনো সিদ্ধান্ত নিতে পারিনি।|ম্যাঁ অভী তয় নহীঁ কর পাঈ হুঁ।|मैं इस बारे में सोचना चाहती हूँ।|আমি এটা নিয়ে ভাবতে চাই।|ম্যাঁ ইস বারে মেঁ সোচনা চাহতী হুঁ।
খরচ ভাগ করার প্রস্তাব|हम खर्च बाँट सकते हैं।|আমরা খরচ ভাগ করে নিতে পারি।|হম খর্চ বাঁট সকতে হ্যাঁয়।|फिर सबका खर्च कम होगा।|তাহলে সবার খরচ কম হবে।|ফির সবকা খর্চ কম হোগা।
গতকালের কথা বলুন|कल मैंने देर तक काम किया।|গতকাল অনেকক্ষণ কাজ করেছি।|কল ম্যাঁনে দের তক কাম কিয়া।|फिर मैं जल्दी सो गई।|তারপর তাড়াতাড়ি ঘুমিয়ে পড়েছি।|ফির ম্যাঁ জলদী সো গঈ।
বাস মিস হলে বলুন|मेरी बस छूट गई।|আমি বাস মিস করেছি।|মেরী বস ছুট গঈ।|इसलिए मुझे देर हो गई।|তাই দেরি হয়েছে।|ইসলিয়ে মুঝে দের হো গঈ।
প্রথম দিনের অভিজ্ঞতা|शुरू में मैं बहुत घबराई हुई थी।|শুরুতে আমি খুব নার্ভাস ছিলাম।|শুরু মেঁ ম্যাঁ বহুত ঘবরাঈ হুঈ থী।|मेरे सहकर्मियों ने मेरी मदद की।|সহকর্মীরা আমাকে সাহায্য করেছেন।|মেরে সহকর্মিয়োঁ নে মেরী মদদ কী।
বাসা পেয়ে জানিয়ে দিন|आखिर मुझे एक घर मिल गया।|অবশেষে একটা বাসা পেয়েছি।|আখির মুঝে এক ঘর মিল গয়া।|अगले महीने वहाँ रहने जाऊँगी।|আগামী মাসে উঠব।|অগলে মহীনে ওহাঁ রহনে জাউঁগী।
নতুন সাইকেলের কথা|मैंने अपने लिए एक साइकिल खरीदी है।|আমি একটা সাইকেল কিনেছি।|ম্যাঁনে অপনে লিয়ে এক সাইকিল খরীদী হ্যায়।|अब मैं उससे काम पर जाती हूँ।|এখন ওটা দিয়ে কাজে যাই।|অব ম্যাঁ উসসে কাম পর জাতী হুঁ।
ছোট ভুলের কথা বলুন|मैंने गलत पता भर दिया था।|আমি ভুল ঠিকানা লিখেছিলাম।|ম্যাঁনে গলত পতা ভর দিয়া থা।|अच्छा हुआ, समय पर ध्यान आ गया।|ভাগ্য ভালো, সময়মতো খেয়াল করেছি।|অচ্ছা হুআ, সময় পর ধ্যান আ গয়া।
বন্ধুর সঙ্গে দেখা হওয়ার কথা|छुट्टी के दिन मैं सारा से मिली।|ছুটির দিনে সারার সঙ্গে দেখা হয়েছিল।|ছুট্টী কে দিন ম্যাঁ সারা সে মিলী।|हमने बहुत देर तक बात की।|আমরা অনেকক্ষণ কথা বলেছি।|হমনে বহুত দের তক বাত কী।
প্রথম অভিজ্ঞতা বলুন|मैं पहली बार हवाई जहाज़ में गई।|আমি প্রথমবার বিমানে চড়েছি।|ম্যাঁ পহলী বার হবাঈ জহাজ মেঁ গঈ।|यह उम्मीद से ज़्यादा रोमांचक था।|প্রত্যাশার চেয়েও রোমাঞ্চকর ছিল।|ইয়হ উম্মীদ সে জ্যাদা রোমাঞ্চক থা।
কোর্স শেষের কথা বলুন|मैंने अपना हिंदी कोर्स पूरा कर लिया।|আমার হিন্দি কোর্স শেষ করেছি।|ম্যাঁনে অপনা হিন্দী কোর্স পুরা কর লিয়া।|अब मैं और सीखना चाहती हूँ।|এখন আরও শিখতে চাই।|অব ম্যাঁ ঔর সীখনা চাহতী হুঁ।
ভুলের ভয় কাটান|पहले मुझे गलतियों से डर लगता था।|আগে ভুল করতে ভয় পেতাম।|পহলে মুঝে গলতিয়োঁ সে ডর লগতা থা।|अब मैं फिर भी हिंदी बोलती हूँ।|এখন তবুও হিন্দি বলি।|অব ম্যাঁ ফির ভী হিন্দী বোলতী হুঁ।
নতুন কাজের পরিকল্পনা|अगले हफ़्ते मैं नई नौकरी शुरू करूँगी।|আগামী সপ্তাহে নতুন চাকরি শুরু করব।|অগলে হফতে ম্যাঁ নঈ নৌকরী শুরু করুঙ্গী।|मुझे इसका बेसब्री से इंतज़ार है।|আমি খুব আগ্রহ নিয়ে অপেক্ষা করছি।|মুঝে ইসকা বেসব্রী সে ইনতজার হ্যায়।
শেখার লক্ষ্য বলুন|मैं रोज़ दस मिनट अभ्यास करना चाहती हूँ।|প্রতিদিন দশ মিনিট অনুশীলন করতে চাই।|ম্যাঁ রোজ দস মিনিট অভ্যাস করনা চাহতী হুঁ।|इससे सीखना लगातार चलता रहता है।|এভাবে নিয়মিত শেখা চালিয়ে যাই।|ইসসে সীখনা লগাতার চলতা রহতা হ্যায়।
আবহাওয়া অনুযায়ী পরিকল্পনা|कल धूप हुई तो पैदल घूमने जाएँगे।|কাল রোদ হলে হাঁটতে বেড়াব।|কল ধুপ হুঈ তো প্যায়দল ঘুমনে জাএঁগে।|नहीं तो शहर में ही रहेंगे।|নইলে শহরেই থাকব।|নহীঁ তো শহর মেঁ হী রহেঙ্গে।
কাজ শেষে দেখা করার কথা|काम जल्दी पूरा हुआ तो फ़ोन करूँगी।|আগে কাজ শেষ হলে ফোন করব।|কাম জলদী পুরা হুআ তো ফোন করুঙ্গী।|तब हम मिल पाएँगे।|তখন আমরা দেখা করতে পারব।|তব হম মিল পাএঁগে।
সহজ বইয়ের পরামর্শ চান|क्या तुम कोई अच्छी किताब सुझाओगे?|ভালো একটা বইয়ের পরামর্শ দেবে?|ক্যা তুম কোঈ অচ্ছী কিতাব সুঝাওগে?|वह पढ़ने में आसान होनी चाहिए।|পড়তে সহজ হলে ভালো হয়।|ওহ পড়নে মেঁ আসান হোনী চাহিয়ে।
বেড়ানোর ইচ্ছা বলুন|मैं एक बार वियना जाना चाहती हूँ।|আমি একবার ভিয়েনায় যেতে চাই।|ম্যাঁ এক বার বিয়না জানা চাহতী হুঁ।|उसके लिए हर महीने पैसे बचाती हूँ।|সেজন্য প্রতি মাসে টাকা জমাই।|উসকে লিয়ে হর মহীনে প্যায়সে বচাতী হুঁ।
কাজের কাছে থাকতে চান|मैं दफ़्तर के पास रहना चाहती हूँ।|আমি অফিসের কাছে থাকতে চাই।|ম্যাঁ দফতর কে পাস রহনা চাহতী হুঁ।|फिर सुबह कम समय लगेगा।|তাহলে সকালে কম সময় লাগবে।|ফির সুবহ কম সময় লগেগা।
কাজের প্রতিশ্রুতি দিন|मैं कल इसका ध्यान रखूँगी।|কাল আমি বিষয়টা দেখব।|ম্যাঁ কল ইসকা ধ্যান রখুঙ্গী।|पूरा होते ही बता दूँगी।|শেষ হলেই জানিয়ে দেব।|পুরা হোতে হী বতা দুঙ্গী।
বিকল্প পরিকল্পনা বলুন|ट्रेन रद्द हुई तो बस ले लेंगे।|ট্রেন বাতিল হলে বাসে যাব।|ট্রেন রদ্দ হুঈ তো বস লে লেঙ্গে।|हम फिर भी समय पर पहुँचेंगे।|তবুও আমরা সময়মতো পৌঁছাব।|হম ফির ভী সময় পর পহুঁচেঙ্গে।
ভবিষ্যতের ইচ্ছা বলুন|बाद में मैं व्यावसायिक प्रशिक्षण लेना चाहती हूँ।|পরে আমি কারিগরি প্রশিক্ষণ নিতে চাই।|বাদ মেঁ ম্যাঁ ব্যাবসায়িক প্রশিক্‌শণ লেনা চাহতী হুঁ।|पहले मुझे अपनी हिंदी बेहतर करनी है।|আগে আমার হিন্দি আরও ভালো করতে হবে।|পহলে মুঝে অপনী হিন্দী বেহতর করনী হ্যায়।
জরুরি সাহায্য চান|कृपया एम्बुलेंस बुलाइए।|দয়া করে অ্যাম্বুলেন্স ডাকুন।|কৃপয়া এম্বুলেন্স বুলাইয়ে।|यहाँ किसी को तुरंत मदद चाहिए।|এখানে একজনের জরুরি সাহায্য দরকার।|ইয়হাঁ কিসী কো তুরন্ত মদদ চাহিয়ে।
চুরির অভিযোগ জানান|मेरी साइकिल चोरी हो गई है।|আমার সাইকেল চুরি হয়েছে।|মেরী সাইকিল চোরী হো গঈ হ্যায়।|मैं चोरी की शिकायत करना चाहती हूँ।|আমি চুরির অভিযোগ করতে চাই।|ম্যাঁ চোরী কী শিকায়ত করনা চাহতী হুঁ।
বুকিং সমস্যা বুঝিয়ে বলুন|सिस्टम में मेरी बुकिंग नहीं है।|সিস্টেমে আমার বুকিং নেই।|সিস্টম মেঁ মেরী বুকিং নহীঁ হ্যায়।|लेकिन मुझे पुष्टि का संदेश मिला था।|কিন্তু আমি নিশ্চয়তার বার্তা পেয়েছি।|লেকিন মুঝে পুষ্টি কা সন্দেশ মিলা থা।
টাকা ফেরত চাইতে বলুন|सामान टूटा हुआ आया है।|পণ্যটি নষ্ট অবস্থায় এসেছে।|সামান টুটা হুআ আয়া হ্যায়।|मुझे मेरे पैसे वापस चाहिए।|আমি আমার টাকা ফেরত চাই।|মুঝে মেরে প্যায়সে বাপস চাহিয়ে।
ভুল বোঝাবুঝি পরিষ্কার করুন|मैंने इसका अलग मतलब समझा था।|আমি সেটা অন্যভাবে বুঝেছিলাম।|ম্যাঁনে ইসকা অলগ মতলব সমঝা থা।|क्या आप और साफ़ समझाएँगे?|আরও স্পষ্ট করে বলবেন?|ক্যা আপ ঔর সাফ সমঝাএঁগে?
ভুলের জন্য ক্ষমা চান|मैंने गलती से आपका बैग ले लिया।|ভুল করে আপনার ব্যাগ নিয়েছি।|ম্যাঁনে গলতী সে আপকা ব্যাগ লে লিয়া।|मैंने यह जानबूझकर नहीं किया।|এটা ইচ্ছা করে করিনি।|ম্যাঁনে ইয়হ জানবুঝকর নহীঁ কিয়া।
বিল আবার দেখতে বলুন|मुझे लगता है कि बिल गलत है।|আমার মনে হয় বিলটা ঠিক নেই।|মুঝে লগতা হ্যায় কি বিল গলত হ্যায়।|क्या आप फिर से हिसाब करेंगे?|দয়া করে আবার হিসাব করবেন?|ক্যা আপ ফির সে হিসাব করেঙ্গে?
কী চেষ্টা করেছেন বলুন|मैंने पहले ही दो बार कोशिश की।|আমি আগেই দুবার চেষ্টা করেছি।|ম্যাঁনে পহলে হী দো বার কোশিশ কী।|अफ़सोस, यह अभी भी नहीं चल रहा।|দুঃখিত, এখনো কাজ করছে না।|অফসোস, ইয়হ অভী ভী নহীঁ চল রহা।
একসঙ্গে সমাধান খুঁজুন|हमें ज़रूर कोई हल मिलेगा।|আমরা নিশ্চয়ই একটা সমাধান পাব।|হমেঁ জরুর কোঈ হল মিলেগা।|आइए, दूसरे तरीके देखते हैं।|চলুন অন্য উপায়গুলো দেখি।|আইয়ে, দুসরে তরীকে দেখতে হ্যাঁয়।
সাহায্যের জন্য কৃতজ্ঞতা জানান|आपकी मदद मेरे लिए बहुत कीमती थी।|আপনার সাহায্য আমার জন্য অনেক মূল্যবান ছিল।|আপকী মদদ মেরে লিয়ে বহুত কীমতী থী।|अब मुझे पता है कि आगे क्या करूँ।|এখন জানি কীভাবে এগোব।|অব মুঝে পতা হ্যায় কি আগে ক্যা করুঁ।
